LA,Footfall in high streets and town centres,Number of community sport and physical activity offerings,Number of registered charity volunteers,Percentage of adults (16+) reporting that people in neighbourhood pull together to improve the neighbourhood,Percentage of adults (16+) reporting that if they needed help there are people who would be there for them,Number of registered charities,Number of community interest companies (CICs),Internal migration,Personal wellbeing,Percentage of adults (16+) reporting that they felt lonely often or always,International migration,Percentage of adults (16+) reporting that they belong very or fairly strongly to London,Index of Local Area Belonging,Gentrification – change in occupational classes,Income inequality,Percentage of adults (16+) reporting taking part in formal volunteering at least once in the last year,Number of food banks,Number of food bank parcels delivered,Proportion of electoral registrations,Ballots cast in borough council elections 2022,Percentage of adults (16+) agreeing that they personally can influence decisions affecting their local area,Percentage of adults (16+) treated unfairly in the last 12 months because of one or several protected characteristics or because of their social class,Percentage of adults (16+) digitally excluded,Percentage of adults (16+) who have engaged in some form of civic participation at least once in the last 12 months,Percentage of adults (16+) who have engaged in civic consultation at least once in the last 12 months,Number and proximity of libraries,"Not in education, employment or training (NEET)/not known proportion for age 16-17","Percentage of pupils meeting the Key Stage 2 (KS2) expected standard in reading, writing and maths (gap in disadvantage status)",Students achieving GCSE A* to C English and Maths (%),Percent of newly born enterprises surviving 1 year,Registered charity expenditure,Local authority (LA) core spending power,Jobs density,Public transport access levels (PTALs),Passive green space,Number and proximity of community centres,Number and proximity of cultural spaces,Healthy Streets score,Number of faith centres,Recorded crime
Barking and Dagenham,0.3982300025,125,11432,43.79534736,94.03103474,218,156,36595,7.47,8.539270714,10554,0.8000249725,3.399510651,4.83812917,1.438461538,25.16491761,6,7156,0.9001057183,34534,32.12729544,0.449784875,0.056790432,31.19259785,18.92645187,6,2.9,17,46.9,90.40247678,35,221.2601733,0.53,2,0.3482165217,27,117,3.3,57,17602
Barnet,0.5798719863,262,13649,62.84508183,93.62118331,628,225,58738,7.0025,3.69588627,17473,0.8383917115,3.561476051,4.640890981,1.612631579,32.44009908,4,29599,0.8755403928,97480,28.66249229,0.3203934949,0.04226593203,41.23652816,21.85007429,16,0.9,21,66.6,90.2739726,220,360.7600943,0.66,2,0.4070440909,13,796,2.3,144,24526
Bexley,0.3377615899,154,5905,47.90081926,94.2366539,271,108,33104,7.3125,8.578096752,5042,0.7256147866,3.388276695,9.111180623,1.556603774,29.7427137,4,15196,0.9046413109,57672,20.55503656,0.3023337612,0.03552342947,33.83650502,16.97069817,12,2.4,24,55,93.67088608,54,223.325829,0.59,1b,0.3939783784,17,230,1.3,89,14121
Brent,0.5245289247,172,6470,48.63304818,91.98300583,318,196,64431,6.9625,8.4887809,23329,0.8479727895,3.523770706,2.833162334,1.584725537,28.56093865,3,12447,0.8418527165,71473,33.78637773,0.329201527,0.04852672732,34.73603373,19.32048466,9,2.3,13,55.7,91.8200409,79,361.5299017,0.63,2.5,0.3286055249,23,303,3.8,90,27787
Bromley,0.520237518,425,11740,57.79153528,93.68832626,406,128,43394,7.2125,6.675435743,5729,0.6592029908,3.46981343,9.135255892,1.608888889,33.44644214,4,7407,0.9352534134,90991,24.46425606,0.3559421447,0.04345366905,34.68896543,16.50150682,13,1.6,29,55.7,93.31550802,79,286.3583703,0.66,2,0.4791371859,21,592,1.8,149,20158
Camden,0.8274664317,140,17111,50.96119622,89.91073637,458,693,52390,7.165,9.338042073,23408,0.8185617686,3.447479296,3.172703163,1.940919037,30.95417088,4,66776,0.7921738141,51837,22.24420635,0.3621722143,0.02015182489,39.66428113,29.31217512,12,2.5,14,50.7,92.8064843,224,340.5056071,2.82,5,0.3241215385,110,2737,6.9,89,37216
City of London,0.4004334527,27,6014,67.14878792,93.26855968,178,109,3474,,5.308672704,4656,,3.273293004,2.851198762,1,29.41589297,,,0.5536661466,,29.71138944,,,46.96143241,40.62457546,4,,,,93.33333333,183,40.36757325,102.98,6b,0.09036666667,,,7.52,,
Croydon,0.4408155984,363,9625,46.42128587,92.10882944,488,325,58229,6.9425,7.854236755,13903,0.8076775315,3.411020184,6.109183294,1.784974093,29.95397136,1,13,0.9125790248,96786,23.43373297,0.4398523101,0.04616358032,39.77782552,19.14386216,14,4.8,17,44.2,91.79265659,69,424.1711036,0.59,2,0.421268559,12,356,3.2,145,29939
Ealing,0.4601331763,194,7316,55.6748592,91.51262657,364,140,62823,7.0925,6.862013234,20596,0.8780349812,3.500364617,4.084498567,1.843612335,27.97325653,7,46175,0.823424814,98571,33.30790627,0.3494727175,0.05013069409,36.67403909,21.27619952,13,2.4,14,57.7,92.89940828,64,360.6416364,0.64,2,0.351360804,26,530,4.3,108,27251
Enfield,0.5544446416,226,5420,48.03904139,97.5379962,354,220,43186,7.5725,8.128716151,10000,0.7444963181,3.501912602,3.287616901,1.772959184,26.32042856,1,17952,0.8711921227,80812,23.63319242,0.4553386609,0.07561709347,33.42214233,18.63361541,17,5.7,17,48.3,91.37168142,44,320.6175224,0.61,2,0.3821311475,13,443,2.9,99,25578
Greenwich,0.514675249,159,5691,47.99015277,91.13023909,328,237,53446,7.3125,7.924969344,13737,0.843688754,3.524147034,8.899585774,1.758454106,26.82101714,11,16961,0.8248205773,64004,24.93854788,0.3238944699,0.02527416368,36.28768471,22.46240829,14,3.3,15,49.3,93.08357349,103,322.817377,0.53,2,0.3699347561,27,782,3.7,103,23543
Hackney,0.9314886681,172,11616,57.13224378,91.97650933,562,481,52349,7.0425,8.999682067,12826,0.8661596192,3.563335981,7.801468714,1.703614458,29.48240577,12,23947,0.852572632,62096,26.46212546,0.4007095217,0.0367151959,44.508428,26.97002323,9,2.4,13,53.5,93.16909295,180,359.7512471,0.96,4,0.2990671141,91,1173,7.4,92,28998
Hammersmith and Fulham,0.6693771004,98,7021,49.44370046,96.20769219,205,135,46456,7.4125,7.138800169,12525,0.8445711513,3.587348314,3.702086893,1.914798206,32.75851696,6,28046,0.8184768246,41813,29.09795066,0.2976034145,0.02596809123,40.29908052,25.01975745,6,4.1,12,64.4,92.83489097,67,220.2944146,1.18,4,0.2569852174,35,515,5.7,62,17615
Haringey,0.6591893603,191,5794,55.32733878,94.27844945,322,228,54433,7.025,6.375609856,12072,0.8370707232,3.527400998,2.792185057,2.053164557,31.22117921,1,4680,0.8510926939,62991,25.37188999,0.3269022427,0.04931531915,42.10037165,27.67499869,9,4.8,23,49.6,91.68539326,88,309.4690196,0.57,3,0.3456435374,25,526,5.7,87,24641
Harrow,0.4141319599,238,23859,54.15883579,96.80066648,300,114,40469,7.4025,5.507910692,13757,0.8373217629,3.524294091,3.061581784,1.426356589,31.09985991,4,6682,0.955473754,71245,31.2427229,0.3338067361,0.02255734641,32.48587756,17.66808738,7,1.7,27,56.7,93.22033898,50,248.5974853,0.54,2,0.4010131944,11,419,2.7,69,14069
Havering,0.447859122,209,3943,49.88293755,95.48319326,268,108,32477,7.445,7.278500443,5209,0.7146821327,3.474192791,8.334208153,1.690773067,19.83485807,5,16797,0.9032874063,66097,20.25058903,0.299472079,0.05940689644,33.16997825,17.604239,10,2.4,28,52.2,93.45238095,39,236.4126237,0.67,2,0.4111496732,22,245,2,90,17003
